# wav(Å) depth(ppm) depth_unc(ppm)
5.500000000000000000e+03 1.376998323375794280e+04 2.212003376706279028e+02
5.700000000000000000e+03 1.326999299219948807e+04 3.144802740174750397e+02
5.892899999999999636e+03 1.344582469149692952e+04 2.983407708210158376e+02
6.085800000000000182e+03 1.313117311623991009e+04 3.162055426413485293e+02
6.755000000000000000e+03 1.330706138260551961e+04 2.435007181438916462e+02
6.955000000000000000e+03 1.368940872921876326e+04 2.295774278296535158e+02
7.155000000000000000e+03 1.355489168831838469e+04 2.338597355620664189e+02
7.355000000000000000e+03 1.382725700214401331e+04 1.829819002159247816e+02
7.555000000000000000e+03 1.322213060609633430e+04 2.395268220602436315e+02
7.682000000000000000e+03 1.297100364338544750e+04 3.026852087800642721e+02
7.809000000000000000e+03 1.342485619903191946e+04 2.261602965652651847e+02
8.009000000000000000e+03 1.300676710113311128e+04 2.383838928830836039e+02
8.189000000000000000e+03 1.283515560816322795e+04 2.205459943380080290e+02
8.369000000000000000e+03 1.303908612570396326e+04 2.030782740362890877e+02
8.569000000000000000e+03 1.272702706264644257e+04 2.232772834957318082e+02
8.769000000000000000e+03 1.267737128561851932e+04 2.189473429039789778e+02
8.969000000000000000e+03 1.270903380186082904e+04 2.258608556144703527e+02
